ETM,Categorie_INERIS,mode_filtrage,n_strict_bdf,n_total,n_bdf_exclus,n_outliers_grubbs,poids_total,BCF_min,BCF_max,BCF_median,BCF_mean_arith,BCF_mean_geom_pond,n_reg_simple,A_simple,B_simple,r2_simple,p_simple,OP_min,OP_max,Cs_valid_min,Cs_valid_max,n_reg_multiple,pearson_p_pH,pearson_p_MO,vars_mult_model,A_mult,B_lnCs_mult,C_pH,D_MO,r2_multiple,F_stat_mult,p_fisher_mult,OP_min_mult,OP_max_mult,pH_valid_min,pH_valid_max,MO_valid_min,MO_valid_max,best_distrib,AD_stat,AD_pval_lognorm,regression_retenue,Br_E,unité,modele
As,légumes-feuilles,strict,185,185,34,0,724.0000,0.0004,1.2298,0.0706,0.1924,0.0546,185,-1.0897,-0.5244,0.3050,0.0000,0.0067,39.8910,0.1000,903.5000,80,0.0032,0.6151,ln_Cs+pH,-6.1127,-0.2967,0.6091,,0.2121,10.3646,0.0001,0.0026,21.2048,6.0300,9.8700,,,lognormale,2.1761,0.0100,False,0.0546,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
As,légumes-fruits,strict,163,163,5,0,660.0000,0.0002,1.2115,0.0664,0.1340,0.0349,163,-1.4537,-0.6094,0.3167,0.0000,0.0261,104.8602,1.2000,903.5000,52,0.0000,0.2651,ln_Cs+pH,-20.7333,0.0664,2.3074,,0.3421,12.7419,0.0000,0.0026,13.1496,6.0300,8.2000,,,gamma,2.5553,0.0100,False,0.0349,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
As,légumes-racines,strict,24,24,9,0,64.0000,0.0009,0.6679,0.0171,0.1056,0.0373,24,-0.5936,-0.7712,0.4703,0.0002,0.0194,17.0511,3.2000,903.5000,11,0.3287,0.8861,ln_Cs,,,,,,,,,,,,,,lognormale,0.4438,0.1500,False,0.0373,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
As,tubercules,strict,50,50,1,0,319.0000,0.0015,0.4651,0.0624,0.0937,0.1238,50,-1.3109,-0.7812,0.7224,0.0000,0.0747,28.1603,0.0800,903.5000,4,,,,,,,,,,,,,,,,,normale,3.2361,0.0100,False,0.1238,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cd,légumes-feuilles,strict,316,316,13,0,1470.0000,0.0001,9.6300,0.6551,1.4214,0.4518,316,-1.1603,-0.5495,0.0861,0.0000,0.0006,56.1966,0.0400,893.3000,169,0.1012,0.0000,ln_Cs+MO,0.6903,-0.2901,,-0.2466,0.2525,28.0310,0.0000,0.0007,17.1293,,,0.1900,17.2000,Pearson_V,6.0914,0.0100,False,0.4518,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cd,légumes-fruits,strict,129,129,22,0,780.0000,0.0010,2.8000,0.2096,0.4372,0.2040,129,-1.8994,-0.2631,0.0648,0.0036,0.0065,25.7004,0.0020,38.0000,79,0.1142,0.4406,ln_Cs,,,,,,,,,,,,,,lognormale,0.7145,0.0100,False,0.2040,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cd,légumes-racines,strict,16,16,3,0,90.0000,0.0203,1.4286,0.3720,0.5136,0.3140,16,-1.3687,-0.4778,0.2961,0.0293,0.1822,4.1668,0.1400,9.1000,9,0.1008,0.8366,ln_Cs,,,,,,,,,,,,,,Pearson_V,0.5318,0.0237,True,0.3140,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cd,tubercules,strict,103,103,17,0,526.0000,0.0022,2.8743,0.0600,0.2277,0.1392,103,-2.3955,-0.6663,0.7580,0.0000,0.0895,111.8048,0.0100,25.0000,83,0.0000,0.0691,ln_Cs+pH,-0.1838,-0.5703,-0.3322,,0.8948,340.3619,0.0000,0.2756,5.7850,5.0000,8.6400,,,lognormale,5.4554,0.0100,False,0.1392,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Co,légumes-feuilles,strict,37,37,3,0,73.0000,0.0007,0.4863,0.0697,0.1072,0.0592,37,-3.3658,0.1558,0.0103,0.5494,0.0161,8.7202,0.1700,47.2000,21,0.5657,0.3228,ln_Cs,,,,,,,,,,,,,,lognormale,0.3558,0.1500,False,0.0592,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Co,légumes-fruits,strict,20,20,0,1,41.0000,0.0241,0.6038,0.0776,0.1554,0.0799,19,-0.3486,-1.0205,0.4304,0.0023,0.3970,6.0880,1.0800,13.7000,2,,,,,,,,,,,,,,,,,lognormale,0.5705,0.1032,True,0.0799,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Co,légumes-racines,assoupli,1,2,1,0,6.0000,0.0068,0.0137,0.0097,0.0103,0.0097,2,,,,,,,,,2,,,,,,,,,,,,,,,,,intervalle_min_max,,,False,0.0097,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
