congener,congenere_key,categorie,n,n_outliers,BCF_min,BCF_max,BCF_median,BCF_mean,Br,intercept,r2,p_val,Br_retenu
PCB101,PCB_101,legumes_feuilles,27,2,0.061758,3.179487,0.363208,0.823511,0.091291,0.000666,0.749765,0.000000,True
PCB101,PCB_101,legumes_fruits,11,0,0.165017,14.459665,2.590674,4.058357,5.583208,-0.000828,0.229340,0.136152,False
PCB101,PCB_101,legumes_racines,25,1,0.025773,7.000000,0.387931,1.608010,0.175330,0.001454,0.506608,0.000066,True
PCB101,PCB_101,tubercules,13,0,0.025126,0.484127,0.099010,0.159359,0.047649,0.000046,0.462779,0.010504,False
PCB118,PCB_118,legumes_feuilles,16,3,0.068451,2.755906,0.269044,0.683369,0.026270,0.000240,0.024835,0.559967,False
PCB118,PCB_118,legumes_fruits,16,3,0.075669,1.904762,0.290322,0.646706,0.053791,0.000186,0.124361,0.180346,False
PCB118,PCB_118,legumes_racines,22,1,0.000312,13.000000,0.191542,1.109550,0.604538,-0.000440,0.998308,0.000000,True
PCB118,PCB_118,tubercules,19,1,0.030543,0.529412,0.064388,0.093271,0.033634,0.000020,0.662699,0.000022,True
PCB138,PCB_138,legumes_feuilles,26,1,0.014602,4.428571,0.100237,0.452018,0.111202,0.001226,0.674471,0.000000,True
PCB138,PCB_138,legumes_fruits,11,0,0.196541,7.392473,1.041667,2.194397,5.310031,-0.012139,0.502528,0.014592,True
PCB138,PCB_138,legumes_racines,34,3,0.000522,2.464286,0.317313,0.506629,0.232197,0.000923,0.805545,0.000000,True
PCB138,PCB_138,tubercules,19,0,0.012030,0.223711,0.094340,0.092429,0.089141,0.000005,0.698967,0.000008,True
PCB153,PCB_153,legumes_feuilles,27,1,0.023115,4.870968,0.098187,0.470693,0.111150,0.001469,0.657946,0.000000,True
PCB153,PCB_153,legumes_fruits,11,0,0.173974,9.829396,1.025641,2.543234,7.803767,-0.023925,0.575679,0.006784,True
PCB153,PCB_153,legumes_racines,37,2,0.000684,3.516129,0.310458,0.672296,0.175895,0.002032,0.708134,0.000000,True
PCB153,PCB_153,tubercules,19,0,0.013514,0.484375,0.139932,0.131055,0.101010,0.000025,0.742405,0.000002,True
PCB180,PCB_180,legumes_feuilles,16,0,0.027351,7.280000,0.153863,1.001733,0.070102,0.003925,0.314656,0.023786,False
PCB180,PCB_180,legumes_fruits,9,0,0.015060,4.363828,0.431220,1.380356,-0.065379,0.010630,0.008196,0.816821,False
PCB180,PCB_180,legumes_racines,30,0,0.000320,3.200000,0.290412,0.671247,0.172115,0.001808,0.690146,0.000000,True
PCB180,PCB_180,tubercules,13,0,0.025773,0.175000,0.070721,0.073450,0.052184,0.000017,0.740961,0.000158,True
PCB28,PCB_28,cereales,1,0,2.195122,2.195122,2.195122,2.195122,,,,,False
PCB28,PCB_28,legumes_feuilles,3,0,1.854839,2.684564,2.643312,2.394238,,,,,False
PCB28,PCB_28,legumes_fruits,3,0,0.253165,75.064935,1.521739,25.613280,,,,,False
PCB28,PCB_28,legumes_racines,10,0,0.309091,19.333333,0.678326,6.290250,0.718276,0.000164,0.999803,0.000000,True
PCB28,PCB_28,tubercules,7,0,0.060000,0.534000,0.337838,0.311708,0.243848,0.000038,0.159503,0.374748,False
PCB52,PCB_52,legumes_feuilles,24,3,0.081633,22.057001,2.430863,3.609442,0.039405,0.000872,0.221253,0.020363,False
PCB52,PCB_52,legumes_fruits,11,0,0.066178,34.825871,1.891253,7.956581,0.030485,0.001381,0.036998,0.570974,False
PCB52,PCB_52,legumes_racines,26,0,0.053957,39.000000,1.150422,5.994273,1.067809,0.000748,0.949702,0.000000,True
PCB52,PCB_52,tubercules,8,0,0.009847,0.714286,0.332668,0.316019,-0.059782,0.000111,0.079087,0.499845,False
